UID	set	resource	cell_line_name	time	2D_3D	stimuli	compound_name_1	dosage_1	compound_name_2	dosage_2	compound_name_3	dosage_3	compound_name_4	dosage_4
set101_673	set101	Michael Davies	WM3854	24hr			CONTROL							
set101_674	set101	Michael Davies	WM3854	24hr			CONTROL							
set101_705	set101	Michael Davies	MEL624	6hr			CONTROL							
set101_706	set101	Michael Davies	MEL624	6hr			CONTROL							
set101_751	set101	Michael Davies	MEL624	24hr			CONTROL							
set101_752	set101	Michael Davies	MEL624	24hr			CONTROL							
set101_849	set101	Michael Davies	A375	24hr			CONTROL							
set101_850	set101	Michael Davies	A375	24hr			CONTROL							
set101_871	set101	Michael Davies	A375-R1	24hr			CONTROL							
set101_872	set101	Michael Davies	A375-R1	24hr			CONTROL							
set101_893	set101	Michael Davies	A375-R2	24hr			CONTROL							
set101_894	set101	Michael Davies	A375-R2	24hr			CONTROL							
set101_915	set101	Michael Davies	A375-SM	24hr			CONTROL							
set101_916	set101	Michael Davies	A375-SM	24hr			CONTROL							
set101_937	set101	Michael Davies	A375-SM	24hr			CONTROL							
set101_938	set101	Michael Davies	A375-SM	24hr			CONTROL							
set101_945	set101	Michael Davies	C8161-DP	6hr			CONTROL							
set101_946	set101	Michael Davies	C8161-DP	6hr			CONTROL							
set101_967	set101	Michael Davies	C8161-DP	24hr			CONTROL							
set101_968	set101	Michael Davies	C8161-DP	24hr			CONTROL							
set101_989	set101	Michael Davies	C8161-TT	6hr			CONTROL							
set101_990	set101	Michael Davies	C8161-TT	6hr			CONTROL							
set101_1011	set101	Michael Davies	C8161-TT	24hr			CONTROL							
set101_1012	set101	Michael Davies	C8161-TT	24hr			CONTROL							
set101_27	set101	Michael Davies	SKMEL5	6hr			SELUMETINIB							
set101_28	set101	Michael Davies	SKMEL5	6hr			SELUMETINIB							
set101_31	set101	Michael Davies	SKMEL5	6hr			MTOR inhibitor-01							
set101_32	set101	Michael Davies	SKMEL5	6hr			MTOR inhibitor-01							
set101_51	set101	Michael Davies	SKMEL5	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_52	set101	Michael Davies	SKMEL5	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_73	set101	Michael Davies	SKMEL5	24hr			SELUMETINIB							
set101_74	set101	Michael Davies	SKMEL5	24hr			SELUMETINIB							
set101_77	set101	Michael Davies	SKMEL5	24hr			MTOR inhibitor-01							
set101_78	set101	Michael Davies	SKMEL5	24hr			MTOR inhibitor-01							
set101_97	set101	Michael Davies	SKMEL5	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_98	set101	Michael Davies	SKMEL5	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_105	set101	Michael Davies	UCSD354L	6hr			SELUMETINIB							
set101_106	set101	Michael Davies	UCSD354L	6hr			SELUMETINIB							
set101_123	set101	Michael Davies	UCSD354L	6hr			MTOR inhibitor-01							
set101_124	set101	Michael Davies	UCSD354L	6hr			MTOR inhibitor-01							
set101_129	set101	Michael Davies	UCSD354L	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_130	set101	Michael Davies	UCSD354L	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_151	set101	Michael Davies	UCSD354L	24hr			SELUMETINIB							
set101_152	set101	Michael Davies	UCSD354L	24hr			SELUMETINIB							
set101_169	set101	Michael Davies	UCSD354L	24hr			MTOR inhibitor-01							
set101_170	set101	Michael Davies	UCSD354L	24hr			MTOR inhibitor-01							
set101_175	set101	Michael Davies	UCSD354L	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_176	set101	Michael Davies	UCSD354L	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_197	set101	Michael Davies	C8161-P	6hr			SELUMETINIB							
set101_198	set101	Michael Davies	C8161-P	6hr			SELUMETINIB							
set101_201	set101	Michael Davies	C8161-P	6hr			MTOR inhibitor-01							
set101_202	set101	Michael Davies	C8161-P	6hr			MTOR inhibitor-01							
set101_221	set101	Michael Davies	C8161-P	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_222	set101	Michael Davies	C8161-P	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_243	set101	Michael Davies	C8161-P	24hr			SELUMETINIB							
set101_244	set101	Michael Davies	C8161-P	24hr			SELUMETINIB							
set101_247	set101	Michael Davies	C8161-P	24hr			MTOR inhibitor-01							
set101_248	set101	Michael Davies	C8161-P	24hr			MTOR inhibitor-01							
set101_267	set101	Michael Davies	C8161-P	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_268	set101	Michael Davies	C8161-P	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_289	set101	Michael Davies	WM1799	6hr			SELUMETINIB							
set101_290	set101	Michael Davies	WM1799	6hr			SELUMETINIB							
set101_293	set101	Michael Davies	WM1799	6hr			MTOR inhibitor-01							
set101_294	set101	Michael Davies	WM1799	6hr			MTOR inhibitor-01							
set101_313	set101	Michael Davies	WM1799	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_314	set101	Michael Davies	WM1799	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_321	set101	Michael Davies	WM1799	24hr			SELUMETINIB							
set101_322	set101	Michael Davies	WM1799	24hr			SELUMETINIB							
set101_339	set101	Michael Davies	WM1799	24hr			MTOR inhibitor-01							
set101_340	set101	Michael Davies	WM1799	24hr			MTOR inhibitor-01							
set101_345	set101	Michael Davies	WM1799	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_346	set101	Michael Davies	WM1799	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_367	set101	Michael Davies	WM1366	6hr			SELUMETINIB							
set101_368	set101	Michael Davies	WM1366	6hr			SELUMETINIB							
set101_385	set101	Michael Davies	WM1366	6hr			MTOR inhibitor-01							
set101_386	set101	Michael Davies	WM1366	6hr			MTOR inhibitor-01							
set101_391	set101	Michael Davies	WM1366	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_392	set101	Michael Davies	WM1366	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_413	set101	Michael Davies	WM1366	24hr			SELUMETINIB							
set101_414	set101	Michael Davies	WM1366	24hr			SELUMETINIB							
set101_417	set101	Michael Davies	WM1366	24hr			MTOR inhibitor-01							
set101_418	set101	Michael Davies	WM1366	24hr			MTOR inhibitor-01							
set101_437	set101	Michael Davies	WM1366	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_438	set101	Michael Davies	WM1366	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_459	set101	Michael Davies	CHL1	6hr			SELUMETINIB							
set101_460	set101	Michael Davies	CHL1	6hr			SELUMETINIB							
set101_463	set101	Michael Davies	CHL1	6hr			MTOR inhibitor-01							
set101_464	set101	Michael Davies	CHL1	6hr			MTOR inhibitor-01							
set101_483	set101	Michael Davies	CHL1	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_484	set101	Michael Davies	CHL1	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_505	set101	Michael Davies	CHL1	24hr			SELUMETINIB							
set101_506	set101	Michael Davies	CHL1	24hr			SELUMETINIB							
set101_509	set101	Michael Davies	CHL1	24hr			MTOR inhibitor-01							
set101_510	set101	Michael Davies	CHL1	24hr			MTOR inhibitor-01							
set101_529	set101	Michael Davies	CHL1	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_530	set101	Michael Davies	CHL1	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_537	set101	Michael Davies	SKMEL28	6hr			SELUMETINIB							
set101_538	set101	Michael Davies	SKMEL28	6hr			SELUMETINIB							
set101_555	set101	Michael Davies	SKMEL28	6hr			MTOR inhibitor-01							
set101_556	set101	Michael Davies	SKMEL28	6hr			MTOR inhibitor-01							
set101_561	set101	Michael Davies	SKMEL28	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_562	set101	Michael Davies	SKMEL28	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_583	set101	Michael Davies	SKMEL28	24hr			SELUMETINIB							
set101_584	set101	Michael Davies	SKMEL28	24hr			SELUMETINIB							
set101_601	set101	Michael Davies	SKMEL28	24hr			MTOR inhibitor-01							
set101_602	set101	Michael Davies	SKMEL28	24hr			MTOR inhibitor-01							
set101_607	set101	Michael Davies	SKMEL28	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_608	set101	Michael Davies	SKMEL28	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_629	set101	Michael Davies	WM3854	6hr			SELUMETINIB							
set101_630	set101	Michael Davies	WM3854	6hr			SELUMETINIB							
set101_633	set101	Michael Davies	WM3854	6hr			MTOR inhibitor-01							
set101_634	set101	Michael Davies	WM3854	6hr			MTOR inhibitor-01							
set101_653	set101	Michael Davies	WM3854	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_654	set101	Michael Davies	WM3854	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_675	set101	Michael Davies	WM3854	24hr			SELUMETINIB							
set101_676	set101	Michael Davies	WM3854	24hr			SELUMETINIB							
set101_679	set101	Michael Davies	WM3854	24hr			MTOR inhibitor-01							
set101_680	set101	Michael Davies	WM3854	24hr			MTOR inhibitor-01							
set101_699	set101	Michael Davies	WM3854	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_700	set101	Michael Davies	WM3854	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_721	set101	Michael Davies	MEL624	6hr			SELUMETINIB							
set101_722	set101	Michael Davies	MEL624	6hr			SELUMETINIB							
set101_725	set101	Michael Davies	MEL624	6hr			MTOR inhibitor-01							
set101_726	set101	Michael Davies	MEL624	6hr			MTOR inhibitor-01							
set101_745	set101	Michael Davies	MEL624	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_746	set101	Michael Davies	MEL624	6hr			SELUMETINIB		MTOR inhibitor-01					
set101_753	set101	Michael Davies	MEL624	24hr			SELUMETINIB							
set101_754	set101	Michael Davies	MEL624	24hr			SELUMETINIB							
set101_771	set101	Michael Davies	MEL624	24hr			MTOR inhibitor-01							
set101_772	set101	Michael Davies	MEL624	24hr			MTOR inhibitor-01							
set101_777	set101	Michael Davies	MEL624	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_778	set101	Michael Davies	MEL624	24hr			SELUMETINIB		MTOR inhibitor-01					
set101_865	set101	Michael Davies	A375	24hr			SELUMETINIB							
set101_866	set101	Michael Davies	A375	24hr			SELUMETINIB							
set101_873	set101	Michael Davies	A375-R1	24hr			SELUMETINIB							
set101_874	set101	Michael Davies	A375-R1	24hr			SELUMETINIB							
set101_895	set101	Michael Davies	A375-R2	24hr			SELUMETINIB							
set101_896	set101	Michael Davies	A375-R2	24hr			SELUMETINIB							
set101_917	set101	Michael Davies	A375-SM	24hr			SELUMETINIB							
set101_918	set101	Michael Davies	A375-SM	24hr			SELUMETINIB							
set101_961	set101	Michael Davies	C8161-DP	6hr			SELUMETINIB							
set101_962	set101	Michael Davies	C8161-DP	6hr			SELUMETINIB							
set101_969	set101	Michael Davies	C8161-DP	24hr			SELUMETINIB							
set101_970	set101	Michael Davies	C8161-DP	24hr			SELUMETINIB							
set101_991	set101	Michael Davies	C8161-TT	6hr			SELUMETINIB							
set101_992	set101	Michael Davies	C8161-TT	6hr			SELUMETINIB							
set101_1013	set101	Michael Davies	C8161-TT	24hr			SELUMETINIB							
set101_1014	set101	Michael Davies	C8161-TT	24hr			SELUMETINIB							
set103_459	set103	Meenhard Herlyn	WM9				DMSO							
set103_460	set103	Meenhard Herlyn	WM9				DMSO							
set103_461	set103	Meenhard Herlyn	WM9				DMSO							
set103_486	set103	Meenhard Herlyn	WM9				DMSO							
set103_487	set103	Meenhard Herlyn	WM9				DMSO							
set103_488	set103	Meenhard Herlyn	WM9				DMSO							
set103_513	set103	Meenhard Herlyn	WM1799				DMSO							
set103_529	set103	Meenhard Herlyn	WM1799				DMSO							
set103_530	set103	Meenhard Herlyn	WM1799				DMSO							
set103_534	set103	Meenhard Herlyn	WM1799				DMSO							
set103_535	set103	Meenhard Herlyn	WM1799				DMSO							
set103_536	set103	Meenhard Herlyn	WM1799				DMSO							
set103_555	set103	Meenhard Herlyn	WM1366				DMSO							
set103_556	set103	Meenhard Herlyn	WM1366				DMSO							
set103_557	set103	Meenhard Herlyn	WM1366				DMSO							
set103_561	set103	Meenhard Herlyn	WM1366				DMSO							
set103_577	set103	Meenhard Herlyn	WM1366				DMSO							
set103_578	set103	Meenhard Herlyn	WM1366				DMSO							
set103_915	set103	Meenhard Herlyn	WM1366				DMSO							
set103_916	set103	Meenhard Herlyn	WM1366				DMSO							
set103_582	set103	Meenhard Herlyn	WM3918				DMSO							
set103_583	set103	Meenhard Herlyn	WM3918				DMSO							
set103_584	set103	Meenhard Herlyn	WM3918				DMSO							
set103_603	set103	Meenhard Herlyn	WM3918				DMSO							
set103_604	set103	Meenhard Herlyn	WM3918				DMSO							
set103_605	set103	Meenhard Herlyn	WM3918				DMSO							
set103_846	set103	Meenhard Herlyn	1205LU				DMSO							
set103_847	set103	Meenhard Herlyn	1205LU				DMSO							
set103_1015	set103	Meenhard Herlyn	1205LU				DMSO							
set103_1016	set103	Meenhard Herlyn	1205LU				DMSO							
set103_869	set103	Meenhard Herlyn	A375				DMSO							
set103_870	set103	Meenhard Herlyn	A375				DMSO							
set103_965	set103	Meenhard Herlyn	A375				DMSO							
set103_966	set103	Meenhard Herlyn	A375				DMSO							
set103_892	set103	Meenhard Herlyn	UACC903				DMSO							
set103_893	set103	Meenhard Herlyn	UACC903				DMSO							
set103_988	set103	Meenhard Herlyn	UACC903				DMSO							
set103_989	set103	Meenhard Herlyn	UACC903				DMSO							
set103_969	set103	Meenhard Herlyn	MALME3M				DMSO							
set103_985	set103	Meenhard Herlyn	MALME3M				DMSO							
set103_992	set103	Meenhard Herlyn	WM1158				DMSO							
set103_993	set103	Meenhard Herlyn	WM1158				DMSO							
set103_1011	set103	Meenhard Herlyn	WM46				DMSO							
set103_1012	set103	Meenhard Herlyn	WM46				DMSO							
set103_35	set103	Meenhard Herlyn	A2058				DMSO							
set103_36	set103	Meenhard Herlyn	A2058				DMSO							
set103_39	set103	Meenhard Herlyn	SKMEL28				DMSO							
set103_40	set103	Meenhard Herlyn	SKMEL28				DMSO							
set103_58	set103	Meenhard Herlyn	451LU				DMSO							
set103_59	set103	Meenhard Herlyn	451LU				DMSO							
set103_462	set103	Meenhard Herlyn	WM9	24hr			HA130							
set103_463	set103	Meenhard Herlyn	WM9	24hr			HA130							
set103_464	set103	Meenhard Herlyn	WM9	24hr			HA130							
set103_465	set103	Meenhard Herlyn	WM9	24hr			PLX4720		PD0325901					
set103_481	set103	Meenhard Herlyn	WM9	24hr			PLX4720		PD0325901					
set103_482	set103	Meenhard Herlyn	WM9	24hr			PLX4720		PD0325901					
set103_483	set103	Meenhard Herlyn	WM9	24hr			PLX4720		PD0325901		HA130			
set103_484	set103	Meenhard Herlyn	WM9	24hr			PLX4720		PD0325901		HA130			
set103_485	set103	Meenhard Herlyn	WM9	24hr			PLX4720		PD0325901		HA130			
set103_489	set103	Meenhard Herlyn	WM9	72hr			HA130							
set103_505	set103	Meenhard Herlyn	WM9	72hr			HA130							
set103_506	set103	Meenhard Herlyn	WM9	72hr			HA130							
set103_507	set103	Meenhard Herlyn	WM9	72hr			PLX4720		PD0325901					
set103_508	set103	Meenhard Herlyn	WM9	72hr			PLX4720		PD0325901					
set103_509	set103	Meenhard Herlyn	WM9	72hr			PLX4720		PD0325901					
set103_510	set103	Meenhard Herlyn	WM9	72hr			PLX4720		PD0325901		HA130			
set103_511	set103	Meenhard Herlyn	WM9	72hr			PLX4720		PD0325901		HA130			
set103_512	set103	Meenhard Herlyn	WM9	72hr			PLX4720		PD0325901		HA130			
set103_531	set103	Meenhard Herlyn	WM1799	24hr			HA130							
set103_532	set103	Meenhard Herlyn	WM1799	24hr			HA130							
set103_533	set103	Meenhard Herlyn	WM1799	24hr			HA130							
set103_537	set103	Meenhard Herlyn	WM1799	72hr			HA130							
set103_553	set103	Meenhard Herlyn	WM1799	72hr			HA130							
set103_554	set103	Meenhard Herlyn	WM1799	72hr			HA130							
set103_558	set103	Meenhard Herlyn	WM1366	24hr			HA130							
set103_559	set103	Meenhard Herlyn	WM1366	24hr			HA130							
set103_560	set103	Meenhard Herlyn	WM1366	24hr			HA130							
set103_579	set103	Meenhard Herlyn	WM1366	72hr			HA130							
set103_580	set103	Meenhard Herlyn	WM1366	72hr			HA130							
set103_581	set103	Meenhard Herlyn	WM1366	72hr			HA130							
set103_917	set103	Meenhard Herlyn	WM1366	72hr			VX-680	0.1uM						
set103_918	set103	Meenhard Herlyn	WM1366	72hr			VX-680	0.1uM						
set103_919	set103	Meenhard Herlyn	WM1366	72hr			VX-680	0.25uM						
set103_920	set103	Meenhard Herlyn	WM1366	72hr			VX-680	0.25uM						
set103_585	set103	Meenhard Herlyn	WM3918	24hr			HA130							
set103_601	set103	Meenhard Herlyn	WM3918	24hr			HA130							
set103_602	set103	Meenhard Herlyn	WM3918	24hr			HA130							
set103_606	set103	Meenhard Herlyn	WM3918	72hr			HA130							
set103_607	set103	Meenhard Herlyn	WM3918	72hr			HA130							
set103_608	set103	Meenhard Herlyn	WM3918	72hr			HA130							
set103_848	set103	Meenhard Herlyn	1205LU	72hr			AZD1152	0.5uM						
set103_849	set103	Meenhard Herlyn	1205LU	72hr			AZD1152	0.5uM						
set103_865	set103	Meenhard Herlyn	1205LU	72hr			SNS-314	0.5uM						
set103_866	set103	Meenhard Herlyn	1205LU	72hr			SNS-314	0.5uM						
set103_867	set103	Meenhard Herlyn	1205LU	72hr			VX-680	0.25uM						
set103_868	set103	Meenhard Herlyn	1205LU	72hr			VX-680	0.25uM						
set103_1017	set103	Meenhard Herlyn	1205LU	d5			6-THIO-DG	5uM						
set103_34	set103	Meenhard Herlyn	1205LU	d5			6-THIO-DG	5uM						
set103_871	set103	Meenhard Herlyn	A375	72hr			AZD1152	0.5uM						
set103_872	set103	Meenhard Herlyn	A375	72hr			AZD1152	0.5uM						
set103_873	set103	Meenhard Herlyn	A375	72hr			SNS-314	0.5uM						
set103_889	set103	Meenhard Herlyn	A375	72hr			SNS-314	0.5uM						
set103_890	set103	Meenhard Herlyn	A375	72hr			VX-680	0.25uM						
set103_891	set103	Meenhard Herlyn	A375	72hr			VX-680	0.25uM						
set103_967	set103	Meenhard Herlyn	A375	d5			6-THIO-DG	5uM						
set103_968	set103	Meenhard Herlyn	A375	d5			6-THIO-DG	5uM						
set103_894	set103	Meenhard Herlyn	UACC903	72hr			AZD1152	0.5uM						
set103_895	set103	Meenhard Herlyn	UACC903	72hr			AZD1152	0.5uM						
set103_896	set103	Meenhard Herlyn	UACC903	72hr			SNS-314	0.5uM						
set103_897	set103	Meenhard Herlyn	UACC903	72hr			SNS-314	0.5uM						
set103_913	set103	Meenhard Herlyn	UACC903	72hr			VX-680	0.25uM						
set103_914	set103	Meenhard Herlyn	UACC903	72hr			VX-680	0.25uM						
set103_990	set103	Meenhard Herlyn	UACC903	d5			6-THIO-DG	5uM						
set103_991	set103	Meenhard Herlyn	UACC903	d5			6-THIO-DG	5uM						
set103_986	set103	Meenhard Herlyn	MALME3M	d5			6-THIO-DG	5uM						
set103_987	set103	Meenhard Herlyn	MALME3M	d5			6-THIO-DG	5uM						
set103_1009	set103	Meenhard Herlyn	WM1158	d5			6-THIO-DG	5uM						
set103_1010	set103	Meenhard Herlyn	WM1158	d5			6-THIO-DG	5uM						
set103_1013	set103	Meenhard Herlyn	WM46	d5			6-THIO-DG	5uM						
set103_1014	set103	Meenhard Herlyn	WM46	d5			6-THIO-DG	5uM						
set103_37	set103	Meenhard Herlyn	A2058	d5			6-THIO-DG	5uM						
set103_38	set103	Meenhard Herlyn	A2058	d5			6-THIO-DG	5uM						
set103_41	set103	Meenhard Herlyn	SKMEL28	d5			6-THIO-DG	5uM						
set103_42	set103	Meenhard Herlyn	SKMEL28	d5			6-THIO-DG	5uM						
set103_60	set103	Meenhard Herlyn	451LU	d5			6-THIO-DG	5uM						
set103_61	set103	Meenhard Herlyn	451LU	d5			6-THIO-DG	5uM						
set105_409	set105	Joan Brugge	OVCA432			attached	DMSO							
set105_410	set105	Joan Brugge	OVCA432			attached	DMSO							
set105_411	set105	Joan Brugge	OVCA432			attached	DMSO							
set105_415	set105	Joan Brugge	OVCA432			suspension	DMSO							
set105_416	set105	Joan Brugge	OVCA432			suspension	DMSO							
set105_417	set105	Joan Brugge	OVCA432			suspension	DMSO							
set105_436	set105	Joan Brugge	OVCAR3			attached	DMSO							
set105_437	set105	Joan Brugge	OVCAR3			attached	DMSO							
set105_438	set105	Joan Brugge	OVCAR3			attached	DMSO							
set105_457	set105	Joan Brugge	OVCAR3			suspension	DMSO							
set105_458	set105	Joan Brugge	OVCAR3			suspension	DMSO							
set105_459	set105	Joan Brugge	OVCAR3			suspension	DMSO							
set105_463	set105	Joan Brugge	MCAS			attached	DMSO							
set105_464	set105	Joan Brugge	MCAS			attached	DMSO							
set105_465	set105	Joan Brugge	MCAS			attached	DMSO							
set105_484	set105	Joan Brugge	MCAS			suspension	DMSO							
set105_485	set105	Joan Brugge	MCAS			suspension	DMSO							
set105_486	set105	Joan Brugge	MCAS			suspension	DMSO							
set105_505	set105	Joan Brugge	ES2			attached	DMSO							
set105_506	set105	Joan Brugge	ES2			attached	DMSO							
set105_507	set105	Joan Brugge	ES2			attached	DMSO							
set105_511	set105	Joan Brugge	ES2			suspension	DMSO							
set105_512	set105	Joan Brugge	ES2			suspension	DMSO							
set105_513	set105	Joan Brugge	ES2			suspension	DMSO							
set105_532	set105	Joan Brugge	OAW28			attached	DMSO							
set105_533	set105	Joan Brugge	OAW28			attached	DMSO							
set105_534	set105	Joan Brugge	OAW28			attached	DMSO							
set105_553	set105	Joan Brugge	OAW28			suspension	DMSO							
set105_554	set105	Joan Brugge	OAW28			suspension	DMSO							
set105_555	set105	Joan Brugge	OAW28			suspension	DMSO							
set105_559	set105	Joan Brugge	CAOV3			attached	DMSO							
set105_560	set105	Joan Brugge	CAOV3			attached	DMSO							
set105_561	set105	Joan Brugge	CAOV3			attached	DMSO							
set105_580	set105	Joan Brugge	CAOV3			suspension	DMSO							
set105_581	set105	Joan Brugge	CAOV3			suspension	DMSO							
set105_582	set105	Joan Brugge	CAOV3			suspension	DMSO							
set105_601	set105	Joan Brugge	OV90			attached	DMSO							
set105_602	set105	Joan Brugge	OV90			attached	DMSO							
set105_603	set105	Joan Brugge	OV90			attached	DMSO							
set105_607	set105	Joan Brugge	OV90			suspension	DMSO							
set105_608	set105	Joan Brugge	OV90			suspension	DMSO							
set105_609	set105	Joan Brugge	OV90			suspension	DMSO							
set105_412	set105	Joan Brugge	OVCA432			attached	GNE493							
set105_413	set105	Joan Brugge	OVCA432			attached	GNE493							
set105_414	set105	Joan Brugge	OVCA432			attached	GNE493							
set105_433	set105	Joan Brugge	OVCA432			suspension	GNE493							
set105_434	set105	Joan Brugge	OVCA432			suspension	GNE493							
set105_435	set105	Joan Brugge	OVCA432			suspension	GNE493							
set105_439	set105	Joan Brugge	OVCAR3			attached	GNE493							
set105_440	set105	Joan Brugge	OVCAR3			attached	GNE493							
set105_441	set105	Joan Brugge	OVCAR3			attached	GNE493							
set105_460	set105	Joan Brugge	OVCAR3			suspension	GNE493							
set105_461	set105	Joan Brugge	OVCAR3			suspension	GNE493							
set105_462	set105	Joan Brugge	OVCAR3			suspension	GNE493							
set105_481	set105	Joan Brugge	MCAS			attached	GNE493							
set105_482	set105	Joan Brugge	MCAS			attached	GNE493							
set105_483	set105	Joan Brugge	MCAS			attached	GNE493							
set105_487	set105	Joan Brugge	MCAS			suspension	GNE493							
set105_488	set105	Joan Brugge	MCAS			suspension	GNE493							
set105_489	set105	Joan Brugge	MCAS			suspension	GNE493							
set105_508	set105	Joan Brugge	ES2			attached	GNE493							
set105_509	set105	Joan Brugge	ES2			attached	GNE493							
set105_510	set105	Joan Brugge	ES2			attached	GNE493							
set105_529	set105	Joan Brugge	ES2			suspension	GNE493							
set105_530	set105	Joan Brugge	ES2			suspension	GNE493							
set105_531	set105	Joan Brugge	ES2			suspension	GNE493							
set105_535	set105	Joan Brugge	OAW28			attached	GNE493							
set105_536	set105	Joan Brugge	OAW28			attached	GNE493							
set105_537	set105	Joan Brugge	OAW28			attached	GNE493							
set105_556	set105	Joan Brugge	OAW28			suspension	GNE493							
set105_557	set105	Joan Brugge	OAW28			suspension	GNE493							
set105_558	set105	Joan Brugge	OAW28			suspension	GNE493							
set105_577	set105	Joan Brugge	CAOV3			attached	GNE493							
set105_578	set105	Joan Brugge	CAOV3			attached	GNE493							
set105_579	set105	Joan Brugge	CAOV3			attached	GNE493							
set105_583	set105	Joan Brugge	CAOV3			suspension	GNE493							
set105_584	set105	Joan Brugge	CAOV3			suspension	GNE493							
set105_585	set105	Joan Brugge	CAOV3			suspension	GNE493							
set105_604	set105	Joan Brugge	OV90			attached	GNE493							
set105_605	set105	Joan Brugge	OV90			attached	GNE493							
set105_606	set105	Joan Brugge	OV90			attached	GNE493							
set105_625	set105	Joan Brugge	OV90			suspension	GNE493							
set105_626	set105	Joan Brugge	OV90			suspension	GNE493							
set105_627	set105	Joan Brugge	OV90			suspension	GNE493							
set106_49	set106	Meenhard Herlyn	1205LU	24hr			DMSO							
set106_50	set106	Meenhard Herlyn	1205LU	24hr			DMSO							
set106_51	set106	Meenhard Herlyn	1205LU	24hr			DMSO							
set106_55	set106	Meenhard Herlyn	1205LU	72hr			DMSO							
set106_56	set106	Meenhard Herlyn	1205LU	72hr			DMSO							
set106_57	set106	Meenhard Herlyn	1205LU	72hr			DMSO							
set106_103	set106	Meenhard Herlyn	WM989	72hr			DMSO							
set106_104	set106	Meenhard Herlyn	WM989	72hr			DMSO							
